step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
1070,2,8584,0.041057,9.81e-05,0.0848,4.25,7.80,8.0
1080,2,8681,0.038328,9.80e-05,0.0770,4.25,7.80,8.0
1090,2,8774,0.041329,9.80e-05,0.0549,4.25,7.80,8.0
1100,2,8851,0.057349,9.79e-05,0.2381,4.25,7.80,8.0
1110,2,8928,0.050145,9.79e-05,0.3011,4.25,7.80,8.0
1120,2,9005,0.063551,9.78e-05,0.2241,4.25,7.80,8.0
1130,2,9082,0.044026,9.78e-05,0.0722,4.25,7.80,8.0
1140,2,9159,0.042016,9.77e-05,0.0661,4.25,7.80,8.0
1150,2,9236,0.074063,9.77e-05,0.1350,4.25,7.80,8.0
1160,2,9312,0.051361,9.77e-05,0.1033,4.25,7.80,8.0
1170,2,9389,0.047795,9.76e-05,0.1064,4.25,7.80,8.0
1180,2,9466,0.049084,9.76e-05,0.1111,4.25,7.80,8.0
1190,2,9543,0.049042,9.75e-05,0.0903,4.25,7.80,8.0
1200,2,9620,0.037574,9.75e-05,0.0537,4.25,7.80,8.0
1210,2,9695,0.056751,9.74e-05,0.1111,4.25,7.80,8.0
1220,2,9770,0.054375,9.74e-05,0.0666,4.25,7.80,8.0
1230,2,9848,0.043544,9.73e-05,0.0564,4.25,7.80,8.0
1240,2,9923,0.041249,9.72e-05,0.0602,4.25,7.80,8.0
1250,2,9998,0.053271,9.72e-05,0.0835,4.25,7.80,8.0
1260,2,10074,0.041868,9.71e-05,0.0660,4.25,7.80,8.0
1270,2,10149,0.040083,9.71e-05,0.0573,4.25,7.80,8.0
1280,2,10224,0.040966,9.70e-05,0.0829,4.25,7.80,8.0
1290,2,10300,0.039245,9.70e-05,0.0418,4.25,7.80,7.9
1300,2,10375,0.053615,9.69e-05,0.0678,4.25,7.80,7.9
1310,2,10451,0.044462,9.69e-05,0.0787,4.25,7.80,7.9
1320,2,10526,0.043717,9.68e-05,0.0552,4.25,7.80,7.9
1330,2,10603,0.042512,9.68e-05,0.0573,4.25,7.80,7.9
1340,2,10679,0.038297,9.67e-05,0.0495,4.25,7.80,7.9
1350,2,10754,0.046494,9.66e-05,0.0770,4.25,7.80,7.9
1360,2,10830,0.035888,9.66e-05,0.0539,4.25,7.80,7.9
1370,2,10906,0.039768,9.65e-05,0.0573,4.25,7.80,7.9
1380,2,10981,0.046318,9.65e-05,0.0379,4.25,7.80,7.9
1390,2,11060,0.045085,9.64e-05,0.0595,4.25,7.80,7.9
1400,2,11136,0.048102,9.63e-05,0.0562,4.25,7.80,7.9
1410,2,11211,0.033893,9.63e-05,0.0471,4.25,7.80,7.9
1420,2,11287,0.037388,9.62e-05,0.0693,4.25,7.80,7.9
1430,2,11362,0.048225,9.62e-05,0.0510,4.25,7.80,7.9
1440,2,11438,0.034394,9.61e-05,0.0686,4.25,7.80,7.9
1450,2,11513,0.036831,9.60e-05,0.0446,4.25,7.80,7.9
1460,2,11588,0.043205,9.60e-05,0.0776,4.25,7.80,7.9
1470,2,11665,0.035020,9.59e-05,0.0717,4.25,7.80,7.9
1480,2,11825,0.052192,9.58e-05,0.0748,4.25,7.80,8.0
1490,2,11900,0.042698,9.58e-05,0.0681,4.25,7.80,8.0
1500,2,11976,0.055155,9.57e-05,0.0839,4.25,7.80,8.0
1510,2,12052,0.045087,9.57e-05,0.0515,4.25,7.80,8.0
1520,2,12127,0.045791,9.56e-05,0.0695,4.25,7.80,7.9
